stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
416,9534,CORDOVA AVE AT DUNDAS ST WEST,,43.648718,-79.528413,,,,
417,11619,BELLAMY RD NORTH AT PROGRESS AVE,,43.78037,-79.244052,,,,
418,4908,COXWELL AVE AT MORTIMER AVE (TORONTO EAST GENERAL),,43.690758,-79.32671,,,,
419,4911,COXWELL AVE AT PLAINS RD,,43.69607,-79.328892,,,,
424,11720,3450 DANFORTH AVE,,43.694113,-79.275312,,,,
425,1842,3450 DANFORTH AVE,,43.694176,-79.27503,,,,
426,9955,DANFORTH AVE AT MAIN ST,,43.688258,-79.301669,,,,
427,4003,KEELE ST AT KEELEGATE DR,,43.732927,-79.483414,,,,
428,11689,KEELE ST AT ST CLAIR AVE WEST,,43.672415,-79.467449,,,,
429,7899,KEELE ST AT ST CLAIR AVE WEST,,43.672094,-79.467304,,,,
430,10755,KEELE ST AT TORO RD,,43.75995,-79.490202,,,,
431,9154,KEELE ST AT WILSON AVE NORTH SIDE,,43.727167,-79.481974,,,,
432,14141,WILSON AVE AT KEELE ST NORTH SIDE,,43.727289,-79.481997,,,,
433,2752,KENNEDY RD AT EGLINTON AVE EAST,,43.731911,-79.267672,,,,
434,4113,KENNEDY RD AT PROGRESS AVE,,43.769242,-79.28205,,,,
435,13624,KING ST WEST AT SHAW ST EAST SIDE,,43.64146,-79.414544,,,,
436,4185,KING ST WEST AT SPADINA AVE,,43.645581,-79.394664,,,,
437,4187,KING ST WEST AT STRACHAN AVE,,43.641987,-79.412127,,,,
438,10235,KINGSTON RD AT GLEN MANOR DR,,43.679991,-79.293555,,,,
439,10234,KINGSTON RD AT MALVERN AVE,,43.679969,-79.293133,,,,
440,4285,KIPLING AVE AT BELFIELD RD,,43.704725,-79.563159,,,,
441,4291,KIPLING AVE AT BLOOR ST WEST NORTH SIDE,,43.642407,-79.535465,,,,
443,5139,LAIRD DR AT EGLINTON AVE EAST,,43.713121,-79.364456,,,,
444,5213,LANSDOWNE AVE AT DAVENPORT RD SOUTH SIDE,,43.671144,-79.44826,,,,
446,11578,LANSDOWNE AVE AT ST CLAIR AVE WEST,,43.67611,-79.450443,,,,
447,13068,LAWRENCE AVE EAST AT EAST AVE (ROUGE HILL GO STATION),,43.78082,-79.131356,,,,
448,5299,LAWRENCE AVE EAST AT ORTON PARK RD,,43.763901,-79.205771,,,,
449,5357,LAWRENCE AVE WEST AT CULFORD RD,,43.706493,-79.487528,,,,
